МК110-24.8Д.4Р;;;;;;;;;;;
Имя парметра;Каталог;Номер регистра/бита;Кол-во регистров/битов;Функция чтения;Функция записи;Тип данных;Минимальное значение;Максимальное значение;Ед. Изм;Значение по умолчанию;строки (только для enum)
DI 1;Discrete Inputs;0;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DI 2;Discrete Inputs;1;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DI 3;Discrete Inputs;2;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DI 4;Discrete Inputs;3;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DI 5;Discrete Inputs;4;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DI 6;Discrete Inputs;5;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DI 7;Discrete Inputs;6;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DI 8;Discrete Inputs;7;1;2;-;AqModbusUnsignedParamItem 8;0;1;;;
DO 1;Relay outputs;0;1;1;5;AqModbusUnsignedParamItem 8;0;1;;;
DO 2;Relay outputs;1;1;1;5;AqModbusUnsignedParamItem 8;0;1;;;
DO 3;Relay outputs;2;1;1;5;AqModbusUnsignedParamItem 8;0;1;;;
DO 4;Relay outputs;3;1;1;5;AqModbusUnsignedParamItem 8;0;1;;;
Slave address;Communication settings;100;1;3;6;AqModbusUnsignedParamItem 8;1;255;;1;
Communication setting;Communication settings;101;1;3;6;AqModbusEnumParamItem 4;1;8;;2;1=4800. None. 8. 1/2=9600. None. 8. 1/3=19200. None. 8. 1/4=38400. None. 8. 1/5=4800. Even. 8. 1/6=9600. Even. 8. 1/7=19200. Even. 8. 1/8=38400. Even. 8. 1
